Couleur	Objet	Contexte	Phrases
Rouge	rubis	montagne	Harmonie tombe dans une petite crevasse et se retrouve dans une mine de rubis.
Rouge	tomate	champ	Harmonie affamé, écrase une grappe de tomates et les enfonce dans la bouche. "Ah, que c'est délicieux". "Tu veux dire dégeulasse" dit son ami $Ami.
Rouge	fraise	champ	Harmonie saisit un panier d'osier et le remplit de fraises sauvages. La petite chanceuse se fera un bon goûter.
Rouge	coeur	plage	Harmonie passe sa fin de journée au bord de la mer, le coucher de soleil rempli son coeur de bonheur.
Rouge	pomme	forêt	Harmonie cueillit une pomme dans l'arbre qui ressemblait à un petit soleil.
Rouge	roses	champ	Harmonie pense fort à sa maman et cueille de magnifiques roses afin de lui concevoir un bouquet.
Rouge	voiture de course	ville	Harmonie, la tête dans les étoiles, revient à elle en entendant un coup de claxon d'une voiture de course. Le conducteur la prévient qu'elle était arrêtée au milieu de la route.
Rouge	cerise	forêt	Harmonie a un creux, elle aperçoit un cerisier et décide de grimper à l'arbre affin d'y cueillir des cerises.
Rouge	poivrons	champ	Harmonie se balade dans les prés et corise un fermier qui lui fait découvrir son métier. Elle continua son chemin avec un baluchon rempli de poivron que celui-ci lui a offert.
Rouge	crabe	plage	Harmonie se baigne dans la mer, quand d'un coup, elle se mit à hurler. Un crabe lui pinça le petit orteil.
Rouge	rouge à lèvre	ville	Harmonie trouve un grand sac à main. En regardant dedans, elle tombe sur un rouge à lèvre d'une couleur époustouflante.
Rouge	coquelicot	champ	Harmonie joue à cache-cache avec son ami renard, en le cherchant, elle se retrouve au milieu d'un énorme champ de coquelicot
Rouge	grenade	forêt	Harmonie est perdue, elle découvre un arbre qu'elle avait encore jamais vu; le grenadier qui produit un fruit très étrange: la grenade.
Rouge	camion de pompier	ville	Harmonie sent une odeur de fumée, elle se demande si quelqu'un est entrain de faire des grillades. Malheureusement, en voyant un camion de pompier passer à côté d'elle à toute allure, elle se rend compte qu'une maison est entrain de brûler.
Rouge	ruban	ville	Harmonie entend des applaudissements au loin. En se rapprochant, elle voit un vieux monsieur avec un chapeau haut-de-forme couper un ruban avec des ciseaux.
Rouge	chapeau de lutin	montagne	Harmonie part à la recherche du pied de l'arc-en-ciel. Elle veut trouver la marmitte d'or, comme on en trouve dans les contes que sa grand-mère lui raconte. En arrivant à destination, quelqu'un a déjà trouvé la marmitte et ne laissa qu'un chapeau de lutin.
Rouge	sucre d’orge	champ	Harmonie poursuit son périple dans la nature. Elle rêve de manger des bonbons et d'en partager avec tous ses amis les animaux. Elle ferma les yeux et fit un voeux. En les ouvrant à nouveau, elle se retrouva dans un champs de sucre d'orge. Harmonie se croit dans un conte de fée.
Rouge	lanterne chinoise	ville	Harmonie se promène le long d'un trottoir. La nuit tombe quand elle entre dans un parc illuminé de lanternes chinoises. En entend de la musique et des feux d'artifices.
Rouge	l’automne	forêt	Harmonie circule entre les arbres qui perdent leurs feuilles automnales.
Rouge	vin	ville	Harmonie bouscule une table dans une ruelle étroite et renverse du vin.
Rouge	aimant	ville	Un aimant se colle aux souliers d'harmonie et elle atire toutes les métaux jonchant le sol.
Rouge	piment	plage	Harmonie mange un sandwich en regardant l'horizon. Elle s'apperçoit qu'il y a du piment à l'intérieur et suffoque sous la chaleur plus forte que le soleil au zénith.
Rouge	homard	plage	Harmonie marche dans l'écume lorsqu'elle se fait pincer l'orteil par un homard.
Rouge	crevette	plage	Harmonie pique une tête et tombe nez à nez avec un banc de crevettes qu'elle fait fuir.
Rouge	dragon	montagne	Harmonie esquive de justesse le souffle du dragon qui menace la douve d'un château.
Rouge	étoile de mer	plage	Harmonie saute de pierre en pierre sur un récif en prenant soin de ne pas écraser les étoile de mer qui se prélassent sur la roche.
Rouge	feu	forêt	Harmonie se réchauffe auprès d'un feu avant de s'endormir apaisée par le crépitement et l'odeur du feu de bois.
Rouge	phare	plage	Harmonie après avoir marché des heures, repère un phare au loin qui éclaire les environs.
Rouge	poissons rouges	plage	Harmonie nage dans l'eau en compagnie des poissons rouges qui lui passent entre les bras et les orteils.
Vert	arbre	forêt	Harmonie grimpe au sommet d'un arbre pour y décrocher des fruits.
Vert	petit pois	champ	Harmonie Romp une gousse de petit pois qui perlent sur le sol sur lesquels elle glisse.
Vert	artichaut	champ	Harmonie ouvre un artichaut et y découvre un vrai coeur.
Vert	herbe	champ	Harmonie cherche des trèfles à quatre dans l'herbe.
Vert	pomme	forêt	Harmonie cueille une pomme qui pendant au bout d'une branche inclinée dans sa direction
Vert	grenouille	montagne	Harmonie s'oriente en direction de bruits de coassements et atteris dans un marécage pleins de grenouilles et de crapauds qui sautent de nénuphar en nénuphar.
Vert	concombre	champ	Harmonie cueille dans un potager des concombre et les mets dans des pots vinaigrés afin d'en faire de succulents cornichons.
Vert	avocat	forêt	Un avocat tomba sur la tête d'harmonie qui l'hébêta un bref instant. 
Vert	poireau	champ	À côté du champ de poivrons du vieux fermier, il y a un champ de poireau, Harmonie demande au paysan si elle peut en prendre un ou deux dans le but de préparer un bon plat à sa maman. Le fermier accepte. Harmonie repart avec un baluchon rempli de poivron et de poireau. Miam !
Vert	haricot	champ	Harmonie voit quelque chose qui ressemble à une très grande tour depuis la colline où elle se trouve. Elle décide d'entreprendre un voyage pour s'en rapprocher et découvrir ce que ça peut bien être. En arrivant sur place, elle découvrit qu'il s'agit enfait d'un haricot géant, que certains héros dans des contes utilisaient pour se rapprocher des nuages.
Vert	courgette	champ	Dans le jardin de la ville, les courgettes poussent molles et sans saveur. Harmonie, avec son talent pour les plantes, décide de redonner vie aux courgettes. Elle les nourrit avec attention, les arrose régulièrement et les soigne avec amour. Bientôt, les courgettes reprennent de la vigueur, leur peau devient brillante et leur saveur redevient délicieuse. Grâce à Harmonie, le jardin retrouve ses couleurs et ses légumes sont à nouveau appréciés par tous.
Vert	cactus	plage	Harmonie assoiffée par la chaleur ambiante se dirigea vers les cactus et en extrait le jus contenu à l'intérieur de la plante. Elle en profita pour glisser une fleur de cactus dans ses cheveux.
Vert	fougère	forêt	Harmonie traversa des fougère restraignant son champs de vision tant elles étaient hautes.
Vert	tortue	plage	Harmonie vit au loins des petites tortues qui venaient de naître atteindre la mer afin. Elle balaya de ses bras les mouettes qui tentèrent de les attaquer.
Vert	colibri	forêt	Un colibri passa à toute vitesse sous le nez d'harmonie. Les battements d'ailes de cet oiseau habile la firent éternuer.
Vert	piment	plage	Après avoir mangé un piment fort par mégarde, Harmonie se précipita pour aller plonger entièrement sa tête dans l'eau.
Vert	émeraude	montagne	Harmonie pénétra dans un grotte et les faibles faisseaux lumineux qui filtraient la pénombre faisaient vibrer les couleurs de milliers d'émeraudes qui parsemaient les paroies.
Vert	menthe	montagne	Harmonie fut happée par la douce odeur que dégagaient les menthes sauvages. Elle les lava soigneusement et les machouillèrent.
Vert	pastèque	champ	Assoiffée, Harmonie romps une pastèque en deux et y extraya tout le jus tendre et sucré qu'elle contenait.
Vert	lézard	montagne	Harmonie suivit les lézard qui se suivaient le long du mur jusqu'à attérir dans leur maison.
Vert	dinosaure	montagne	Harmonie tomba nez à nez avec un dinosaure. Elle ne fit plus un geste et retint sa respiration.
